title,mrp,sellingPrice,specialPrice,productUrl,productBrand,inStock,codAvailable,offers,discount,shippingCharges
Arochem Black oudh Aura Combo Floral Attar(Sandalwood),699.0,699.0,295.0,http://www.flipkart.com/arochem-black-oudh-aura-combo-floral-attar/p/itmejh8hfcmhjmud?pid=ATTEJH8HSN2HZBZ7,Arochem,true,true,,57,50.0
Arochem millennium1 Floral Attar(Musk),299.0,299.0,132.0,http://www.flipkart.com/arochem-millennium1-floral-attar/p/itmejg33ddtkg78w?pid=ATTEJG33TKUCUQQE,Arochem,true,true,,43,50.0
Rockinclay 194903 Floral Attar(Floral),500.0,500.0,299.0,http://www.flipkart.com/rockinclay-194903-floral-attar/p/itmeg64uqzv4s4zn?pid=ATTEG64UQ7H4RKQJ,Rockinclay,true,true,,40,0.0
Arochem sufiyaana Floral Attar(Musk),299.0,299.0,136.0,http://www.flipkart.com/arochem-sufiyaana-floral-attar/p/itmejgfhhrs4fe3q?pid=ATTEJGFHVQXTFP2D,Arochem,true,true,,49,52.0
Arochem Aro PDS Aro cigar Aro magnet Aura Combo Floral Attar(Floral),637.0,637.0,490.0,http://www.flipkart.com/arochem-aro-pds-cigar-magnet-aura-combo-floral-attar/p/itmejh8hrcd2zq9y?pid=ATTEJH8H8XZXJ3BA,Arochem,true,true,,64,65.0
Al Nuaim White Musk Floral Attar(Musk),200.0,200.0,120.0,http://www.flipkart.com/al-nuaim-white-musk-floral-attar/p/itmf7a6ustkcawut?pid=ATTF7A6UJQYQRRGZ,Al Nuaim,true,true,,49,45.0
Al Nuaim Blue for Men(Pack of 2) Floral Attar(Floral),594.0,594.0,189.0,http://www.flipkart.com/al-nuaim-blue-men-pack-2-floral-attar/p/itmeu7xghrz2hpve?pid=ATTEU7XGDKCHHGQ2,Al Nuaim,true,true,,66,55.0
Arochem ARO Magnet Attar- 8ML Floral Attar(Floral),699.0,699.0,123.0,http://www.flipkart.com/arochem-aro-magnet-attar-8ml-floral-attar/p/itmf7cdfhr3f2ecs?pid=ATTF7CDFV2G36XD2,Arochem,true,true,,64,65.0
AROCHEM Ethena + Ice blue Herbal Attar PACK OF 2 PC Floral Attar(Musk),499.0,499.0,237.0,http://www.flipkart.com/arochem-ethena-ice-blue-herbal-attar-pack-2-pc-floral/p/itmf4wh6ctqfyryq?pid=ATTF4WH6YUH7EZQH,AROCHEM,true,true,,52,65.0
Arochem Amber ae hyatt Kala Bhoot Combo Floral Attar(White Lotus),702.0,702.0,250.0,http://www.flipkart.com/arochem-amber-ae-hyatt-kala-bhoot-combo-floral-attar/p/itmejh8gpc8djmzt?pid=ATTEJH8GVSTFTATY,Arochem,true,true,,69,50.0
Arochem MILLENIUM Herbal Attar(Musk Arabia),490.0,490.0,84.0,http://www.flipkart.com/arochem-millenium-herbal-attar/p/itme9ghpqsdwkhey?pid=ATTE9GHPRM5YHVF7,Arochem,true,true,,75,50.0
Arochem Nawab saheb Night in london Aura Combo Floral Attar(Rose),999.0,999.0,340.0,http://www.flipkart.com/arochem-nawab-saheb-night-london-aura-combo-floral-attar/p/itmejh8hgc8chqtg?pid=ATTEJH8HFZUBJACE,Arochem,true,true,,70,45.0
